client_id,risk_score,risk_level,recommended_action
1,0.0039423984,Low Risk,No action required
2,0.0023524046,Low Risk,No action required
3,0.9977684,Critical,Compliance team intervention
4,0.9979023,Critical,Compliance team intervention
5,0.0025014707,Low Risk,No action required
6,0.99587834,Critical,Compliance team intervention
7,0.9984686,Critical,Compliance team intervention
8,0.9985796,Critical,Compliance team intervention
9,0.99404067,Critical,Compliance team intervention
10,0.997919,Critical,Compliance team intervention
11,0.99790263,Critical,Compliance team intervention
12,0.996007,Critical,Compliance team intervention
13,0.9978052,Critical,Compliance team intervention
14,0.0045560985,Low Risk,No action required
15,0.9982653,Critical,Compliance team intervention
16,0.991901,Critical,Compliance team intervention
17,0.0030869467,Low Risk,No action required
18,0.9863733,Critical,Compliance team intervention
19,0.0038379543,Low Risk,No action required
20,0.99790394,Critical,Compliance team intervention
21,0.9932238,Critical,Compliance team intervention
22,0.99816173,Critical,Compliance team intervention
23,0.99894947,Critical,Compliance team intervention
24,0.008647264,Low Risk,No action required
25,0.0031591994,Low Risk,No action required
26,0.99141484,Critical,Compliance team intervention
27,0.9980111,Critical,Compliance team intervention
28,0.99559844,Critical,Compliance team intervention
29,0.0052734036,Low Risk,No action required
30,0.99843985,Critical,Compliance team intervention
31,0.9974975,Critical,Compliance team intervention
32,0.99766904,Critical,Compliance team intervention
33,0.0045931395,Low Risk,No action required
34,0.0017627237,Low Risk,No action required
35,0.98920375,Critical,Compliance team intervention
36,0.9979825,Critical,Compliance team intervention
37,0.004238881,Low Risk,No action required
38,0.9969176,Critical,Compliance team intervention
39,0.004505496,Low Risk,No action required
40,0.0061835446,Low Risk,No action required
41,0.0033736338,Low Risk,No action required
42,0.0024720586,Low Risk,No action required
43,0.9987877,Critical,Compliance team intervention
44,0.9968086,Critical,Compliance team intervention
45,0.99112785,Critical,Compliance team intervention
46,0.0033292577,Low Risk,No action required
47,0.00321337,Low Risk,No action required
48,0.9910817,Critical,Compliance team intervention
49,0.0030603122,Low Risk,No action required
50,0.004204669,Low Risk,No action required
51,0.99816614,Critical,Compliance team intervention
52,0.0031811194,Low Risk,No action required
53,0.9983542,Critical,Compliance team intervention
54,0.9943634,Critical,Compliance team intervention
55,0.99833703,Critical,Compliance team intervention
56,0.004426501,Low Risk,No action required
57,0.004484679,Low Risk,No action required
58,0.0020397836,Low Risk,No action required
59,0.0022777652,Low Risk,No action required
60,0.0069968877,Low Risk,No action required
61,0.0015991689,Low Risk,No action required
62,0.9987099,Critical,Compliance team intervention
63,0.0024336828,Low Risk,No action required
64,0.99346125,Critical,Compliance team intervention
65,0.99867815,Critical,Compliance team intervention
66,0.997013,Critical,Compliance team intervention
