AccountID,latest_txn,total_txns,total_amount,avg_amount,avg_days_gap,max_days_gap,login_attempts_avg,balance,days_since_last_txn,bank_inactive_flag
AC00001,2023-11-14 16:56:34,2,260.76,130.38,386.0,416,1.0,4180.4,48,1
AC00002,2023-12-21 17:00:50,7,2056.21,293.7442857142857,510.57142857142856,664,1.1428571428571428,1154.48,11,0
AC00003,2023-10-02 18:57:19,5,1266.3400000000001,253.26800000000003,576.8,672,1.0,9700.9,90,1
AC00004,2024-01-01 16:08:49,9,2180.08,242.2311111111111,424.77777777777777,553,1.0,8365.37,0,0
AC00005,2023-12-04 18:01:53,9,3131.77,347.97444444444443,489.77777777777777,621,1.0,7104.83,28,0
AC00006,2023-10-05 16:46:31,4,1017.72,254.43,498.0,615,1.0,1490.34,88,1
AC00007,2023-11-27 17:34:33,5,1495.3799999999999,299.07599999999996,420.0,511,1.0,14273.42,35,1
AC00008,2023-11-21 16:45:29,1,76.16,76.16,349.0,349,1.0,1072.25,41,1
AC00009,2023-12-25 17:19:08,5,984.08,196.816,545.8,629,1.0,131.25,7,0
AC00010,2023-11-30 16:52:42,7,2768.67,395.5242857142857,502.0,662,1.0,225.53,32,1
AC00011,2023-12-20 17:15:14,7,2438.26,348.3228571428572,471.85714285714283,600,1.5714285714285714,293.06,12,0
AC00012,2023-12-26 16:08:51,6,2067.78,344.63000000000005,473.8333333333333,594,1.0,1161.84,6,0
AC00013,2023-12-27 16:48:30,8,1631.28,203.91,433.875,623,1.0,416.37,5,0
AC00014,2024-01-01 16:17:13,9,3134.2799999999997,348.25333333333333,463.6666666666667,585,1.0,690.52,0,0
AC00015,2023-11-06 16:28:15,4,1148.74,287.185,533.75,609,1.0,1277.7,56,1
AC00016,2023-10-16 17:43:00,6,2271.9700000000003,378.6616666666667,537.5,619,1.0,2636.32,77,1
AC00017,2023-11-27 17:39:39,5,1133.45,226.69,525.6,644,1.0,6494.25,35,1
AC00018,2023-08-11 16:18:46,3,1658.6699999999998,552.89,530.6666666666666,623,2.3333333333333335,13054.54,143,1
AC00019,2023-07-10 18:16:08,4,948.19,237.0475,571.75,635,1.0,5595.22,175,1
AC00020,2023-11-13 16:46:06,9,3788.01,420.89000000000004,487.22222222222223,662,1.0,9817.05,49,1
AC00021,2023-12-08 16:36:30,8,4263.34,532.9175,476.0,651,1.0,6242.03,24,0
AC00022,2023-08-24 16:01:40,4,775.6800000000001,193.92000000000002,533.0,602,1.0,5571.39,130,1
AC00023,2023-09-18 16:04:06,6,1251.74,208.62333333333333,507.3333333333333,616,1.5,800.93,105,1
AC00024,2023-10-30 16:36:24,5,1426.94,285.38800000000003,478.2,581,1.0,5453.4,63,1
AC00025,2023-12-08 17:05:35,2,415.37,207.685,467.0,602,1.0,4639.04,24,0
AC00026,2023-10-30 17:24:55,6,952.11,158.685,528.6666666666666,665,1.0,1236.38,63,1
AC00027,2023-11-20 16:29:14,3,557.54,185.84666666666666,375.6666666666667,420,1.0,8586.38,42,1
AC00028,2023-09-25 17:11:19,3,2170.17,723.39,512.6666666666666,636,1.0,1588.31,98,1
AC00029,2023-12-04 18:30:00,6,1942.1200000000001,323.68666666666667,469.3333333333333,637,1.0,325.15,27,0
AC00030,2023-10-25 16:13:39,9,2969.7,329.96666666666664,479.77777777777777,595,1.2222222222222223,1887.84,68,1
AC00032,2023-12-19 16:39:57,9,3384.66,376.0733333333333,471.44444444444446,648,1.4444444444444444,7310.83,13,0
AC00033,2023-12-19 16:46:08,6,900.99,150.165,462.1666666666667,630,1.0,1445.47,13,0
AC00034,2023-10-23 17:17:18,4,1007.9000000000001,251.97500000000002,453.5,585,1.0,1305.56,70,1
AC00035,2023-12-07 16:11:01,9,2151.17,239.0188888888889,411.22222222222223,535,1.0,6126.5,25,0
AC00036,2023-07-19 17:03:58,5,1608.4,321.68,557.2,630,1.0,1789.8,166,1
AC00037,2023-12-25 16:25:43,2,253.25,126.625,316.5,318,1.0,9077.62,7,0
AC00038,2023-06-27 16:40:58,1,301.73,301.73,496.0,496,1.0,990.74,188,1
AC00039,2023-11-17 17:59:11,7,2120.76,302.96571428571434,447.0,671,1.7142857142857142,634.16,45,1
AC00040,2023-12-18 17:22:16,5,2925.57,585.114,491.6,669,1.0,9598.43,14,0
AC00041,2023-12-22 16:27:49,7,1149.68,164.24,477.7142857142857,641,1.0,5729.1,10,0
AC00042,2023-09-13 18:11:22,5,1054.04,210.808,556.8,656,1.0,1431.6,110,1
AC00043,2023-11-14 17:23:43,4,2014.75,503.6875,482.75,643,1.25,4539.99,48,1
AC00044,2023-10-19 18:11:23,1,487.32,487.32,382.0,382,1.0,7707.96,74,1
AC00045,2023-09-11 17:51:17,5,1845.12,369.024,538.0,669,1.0,2011.6,112,1
AC00046,2023-11-06 16:24:45,3,1069.95,356.65000000000003,477.6666666666667,671,1.0,5141.32,56,1
AC00047,2024-01-01 17:21:56,4,1612.2,403.05,468.75,647,1.0,13542.41,0,0
AC00048,2023-12-25 17:13:46,3,1602.27,534.09,427.6666666666667,515,1.0,6949.21,7,0
AC00049,2023-11-23 16:09:39,2,1113.77,556.885,352.0,357,1.0,3806.16,39,1
AC00050,2023-11-09 16:11:59,5,1019.56,203.91199999999998,509.6,635,1.0,7306.79,53,1
AC00051,2023-07-20 16:05:11,4,949.2,237.3,536.5,619,1.75,1081.79,165,1
AC00052,2023-10-09 16:50:41,3,424.46999999999997,141.48999999999998,464.3333333333333,595,1.0,14563.02,84,1
AC00053,2023-12-14 18:53:34,7,703.3100000000001,100.47285714285715,508.42857142857144,671,1.0,6794.17,17,0
AC00054,2023-11-29 17:38:53,9,1751.77,194.64111111111112,464.1111111111111,623,1.2222222222222223,409.26,33,1
AC00055,2023-11-10 16:10:34,5,941.1099999999999,188.22199999999998,434.4,655,1.0,1381.28,52,1
AC00056,2023-09-25 17:29:01,6,498.66,83.11,529.8333333333334,640,1.0,411.78,98,1
AC00057,2023-08-29 16:19:14,5,1127.62,225.52399999999997,573.2,664,1.2,811.86,125,1
AC00058,2023-12-28 16:46:46,7,1719.58,245.6542857142857,451.85714285714283,553,1.0,899.15,4,0
AC00059,2023-09-25 16:41:04,4,592.97,148.2425,466.0,595,1.0,7047.04,98,1
AC00060,2023-12-11 16:09:08,4,1552.72,388.18,408.25,480,1.5,7303.23,21,0
AC00061,2023-11-20 16:06:10,5,957.06,191.41199999999998,524.4,616,1.0,4008.05,42,1
AC00062,2023-08-14 17:43:17,3,689.82,229.94000000000003,467.3333333333333,486,1.0,232.56,140,1
AC00063,2023-11-20 16:27:31,10,3192.72,319.272,486.7,637,1.2,1429.61,42,1
AC00064,2023-09-20 17:44:37,4,1411.05,352.7625,497.0,593,1.0,9668.78,103,1
AC00065,2023-12-28 16:30:32,5,1100.17,220.03400000000002,421.8,560,1.0,7447.1,4,0
AC00066,2023-10-23 16:03:49,4,863.0699999999999,215.76749999999998,520.5,644,1.0,1100.64,70,1
AC00067,2023-11-14 16:23:09,7,3224.38,460.6257142857143,518.1428571428571,656,1.0,11729.51,48,1
AC00068,2023-11-22 16:13:39,4,2641.99,660.4975,422.75,501,1.0,2457.1,40,1
AC00069,2023-12-25 17:27:57,7,1617.58,231.08285714285714,449.57142857142856,563,1.0,10517.47,7,0
AC00070,2023-11-13 17:34:15,8,1891.8700000000001,236.48375000000001,504.25,585,1.375,3037.97,49,1
AC00071,2023-12-25 17:41:30,8,4050.12,506.265,502.25,672,2.0,514.88,7,0
AC00072,2023-12-22 17:08:55,4,1289.02,322.255,481.0,605,1.0,8520.08,10,0
AC00073,2023-12-05 16:32:49,5,1834.82,366.964,409.2,489,1.0,3506.11,27,0
AC00074,2023-09-13 16:41:19,3,397.1,132.36666666666667,509.0,559,1.0,8300.54,110,1
AC00075,2023-12-04 16:31:42,5,1091.8700000000001,218.37400000000002,461.6,635,1.0,1029.09,28,0
AC00076,2023-12-22 16:42:33,7,1660.0400000000002,237.14857142857144,541.8571428571429,668,1.0,5705.4,10,0
AC00077,2023-12-15 16:48:08,6,1756.3200000000002,292.72,498.0,580,1.1666666666666667,5424.6,17,0
AC00078,2023-11-30 17:48:36,6,2937.12,489.52,502.6666666666667,644,1.0,7541.16,32,1
AC00079,2023-08-25 16:30:02,5,515.02,103.00399999999999,539.4,661,1.0,7261.7,129,1
AC00080,2023-12-04 16:16:19,6,2238.37,373.06166666666667,482.1666666666667,658,1.0,1084.65,28,0
AC00081,2023-08-14 16:20:49,3,607.37,202.45666666666668,502.6666666666667,532,1.0,1381.75,140,1
AC00082,2023-09-28 16:14:49,3,722.08,240.69333333333336,489.0,626,1.0,6020.85,95,1
AC00083,2024-01-01 16:07:05,6,2753.38,458.8966666666667,428.1666666666667,628,1.5,528.38,0,0
AC00084,2023-10-23 18:41:35,2,502.03,251.015,516.5,655,1.0,2619.46,69,1
AC00085,2023-09-18 17:31:23,6,1695.71,282.61833333333334,507.0,630,1.0,1597.51,105,1
AC00086,2023-12-20 16:17:16,7,3190.07,455.7242857142857,503.7142857142857,637,1.2857142857142858,1149.74,12,0
AC00087,2023-12-29 17:55:30,9,1842.47,204.7188888888889,569.1111111111111,672,1.0,11204.62,3,0
AC00088,2023-02-28 17:34:08,2,513.54,256.77,619.0,623,1.0,1661.1,307,1
AC00089,2023-09-25 16:37:04,5,1201.26,240.252,482.2,581,1.8,1289.48,98,1
AC00090,2023-11-09 17:51:35,9,2579.9700000000003,286.66333333333336,478.8888888888889,672,1.0,4076.48,53,1
AC00091,2023-10-13 16:05:10,3,1077.01,359.00333333333333,492.3333333333333,595,1.0,7872.04,80,1
AC00092,2023-12-18 18:41:26,8,2317.6,289.7,467.375,629,1.0,3475.99,13,0
AC00093,2023-12-14 16:15:28,9,3165.4300000000003,351.7144444444445,477.44444444444446,657,1.3333333333333333,6223.26,18,0
AC00094,2023-08-08 17:07:42,4,224.01999999999998,56.004999999999995,492.0,525,1.0,9189.76,146,1
AC00095,2023-10-20 17:48:44,8,3181.87,397.73375,511.375,640,1.0,3382.91,73,1
AC00096,2023-06-01 16:18:49,3,882.3,294.09999999999997,532.0,542,1.0,651.84,214,1
AC00097,2023-12-19 16:57:40,3,261.72,87.24000000000001,428.0,616,1.0,11584.32,13,0
AC00098,2023-12-11 17:26:22,5,3212.57,642.514,439.6,669,1.0,10456.24,21,0
AC00099,2023-09-18 17:07:08,4,2510.98,627.745,428.25,441,1.0,5790.7,105,1
AC00100,2023-07-17 16:32:45,3,447.33000000000004,149.11,589.3333333333334,651,1.3333333333333333,8400.87,168,1
AC00101,2023-11-21 17:25:30,3,299.9,99.96666666666665,486.3333333333333,630,1.0,7927.27,41,1
AC00102,2023-10-16 16:51:25,5,826.62,165.324,521.6,637,1.0,4943.49,77,1
AC00103,2023-12-25 17:01:44,5,2145.0,429.0,399.2,441,1.0,5184.13,7,0
AC00104,2023-08-24 17:13:38,1,275.2,275.2,438.0,438,1.0,1230.12,130,1
AC00105,2023-08-25 18:24:06,3,381.82,127.27333333333333,484.6666666666667,572,1.0,6229.13,128,1
AC00106,2023-12-25 17:31:53,6,2064.18,344.03,467.3333333333333,593,1.0,1445.53,7,0
AC00107,2023-09-19 16:55:00,5,2980.3199999999997,596.064,515.0,650,1.0,9379.72,104,1
AC00108,2023-11-28 16:38:08,6,1920.36,320.06,431.5,577,1.5,868.91,34,1
AC00109,2023-03-10 16:40:00,2,418.91999999999996,209.45999999999998,610.5,616,1.0,7125.15,297,1
AC00110,2023-11-17 16:39:20,8,2507.77,313.47125,500.125,663,1.125,11565.97,45,1
AC00111,2023-12-11 18:43:00,7,3071.73,438.81857142857143,514.0,651,1.0,1619.16,20,0
AC00112,2023-04-18 17:17:37,1,554.15,554.15,566.0,566,1.0,14817.22,258,1
AC00113,2023-10-02 17:47:19,4,1340.72,335.18,561.25,670,1.0,11989.39,91,1
AC00114,2023-12-13 17:02:21,7,2221.26,317.3228571428572,459.0,622,1.0,12801.93,19,0
AC00115,2023-06-07 16:45:34,3,752.09,250.6966666666667,610.6666666666666,665,1.0,1299.4,208,1
AC00116,2023-11-27 17:29:25,6,1180.23,196.705,466.0,607,1.0,2498.48,35,1
AC00117,2023-04-12 16:03:37,1,55.32,55.32,572.0,572,1.0,241.79,264,1
AC00118,2023-04-14 16:00:51,4,1250.6,312.65,592.75,619,1.0,1776.91,262,1
AC00119,2023-12-04 16:10:04,6,1639.27,273.21166666666664,394.0,467,1.0,151.28,28,0
AC00120,2023-11-14 18:49:52,6,1744.58,290.7633333333333,505.3333333333333,634,1.1666666666666667,1024.42,47,1
AC00121,2023-03-01 17:52:14,2,294.73,147.365,639.5,665,1.0,5926.31,306,1
AC00122,2023-12-26 16:07:28,6,1556.39,259.39833333333337,521.3333333333334,640,1.0,7879.66,6,0
AC00123,2023-11-27 17:51:15,4,919.0600000000001,229.76500000000001,478.25,642,1.0,4536.38,35,1
AC00124,2023-12-29 18:07:04,4,1190.82,297.705,498.25,651,1.75,1804.5,3,0
AC00125,2023-12-11 16:52:47,6,1005.6899999999999,167.61499999999998,465.0,600,1.0,940.91,21,0
AC00126,2023-08-07 16:54:58,7,1519.86,217.12285714285713,543.7142857142857,672,1.0,9403.12,147,1
AC00127,2023-03-08 16:57:30,2,545.4499999999999,272.72499999999997,614.5,622,1.0,12703.24,299,1
AC00128,2023-11-13 17:28:12,7,3224.8900000000003,460.6985714285715,563.4285714285714,671,1.0,383.58,49,1
AC00129,2023-10-03 16:22:49,4,1095.42,273.855,468.0,518,1.0,3651.07,90,1
AC00130,2023-09-05 16:52:06,9,2862.83,318.09222222222223,539.8888888888889,644,1.1111111111111112,7447.44,118,1
AC00131,2023-11-07 17:44:12,9,2829.42,314.38,481.44444444444446,657,1.0,9749.46,55,1
AC00132,2023-12-29 16:30:53,4,385.93,96.4825,473.75,635,1.0,4298.13,3,0
AC00133,2023-11-23 16:15:59,7,1398.29,199.75571428571428,521.7142857142857,672,1.0,7807.73,39,1
AC00134,2023-08-25 16:45:20,1,49.59,49.59,437.0,437,1.0,6037.03,129,1
AC00135,2023-05-18 16:16:53,2,145.89,72.945,565.0,594,1.0,8497.34,228,1
AC00136,2023-11-20 16:31:36,8,3880.53,485.06625,509.875,671,1.0,526.67,42,1
AC00137,2023-12-12 16:17:27,3,377.17,125.72333333333334,493.3333333333333,665,1.0,9238.08,20,0
AC00138,2023-08-29 16:50:17,2,416.4,208.2,538.5,644,1.5,7892.87,125,1
AC00139,2023-12-18 16:06:14,8,1421.76,177.72,478.125,620,1.5,1504.64,14,0
AC00140,2023-11-13 16:58:19,7,1052.82,150.40285714285713,458.57142857142856,578,1.0,1788.27,49,1
AC00141,2023-10-17 16:58:59,5,1456.17,291.23400000000004,478.2,546,1.0,958.7,76,1
AC00142,2023-11-16 16:33:22,2,529.7,264.85,462.0,570,1.0,1107.28,46,1
AC00143,2023-08-18 17:02:15,5,1378.78,275.756,510.6,602,1.0,4437.48,136,1
AC00144,2023-12-04 17:53:57,8,1842.97,230.37125,492.75,650,1.25,7885.21,28,0
AC00145,2023-09-12 16:50:21,5,1402.7800000000002,280.55600000000004,535.4,672,1.6,9269.67,111,1
AC00146,2023-09-06 16:03:15,2,1171.78,585.89,435.0,445,1.0,11147.34,117,1
AC00147,2023-11-20 17:17:05,3,388.62,129.54,429.3333333333333,490,1.0,8271.47,42,1
AC00148,2023-08-21 16:07:13,5,2868.79,573.758,564.8,662,1.0,2366.3,133,1
AC00149,2023-11-09 18:45:10,6,2218.1,369.68333333333334,552.1666666666666,651,1.5,9938.2,52,1
AC00150,2023-07-04 16:25:35,7,2030.56,290.08,592.1428571428571,644,1.4285714285714286,12027.68,181,1
AC00151,2023-06-05 17:48:33,4,1156.83,289.2075,554.75,648,1.0,560.73,210,1
AC00152,2024-01-01 16:25:13,4,969.87,242.4675,517.5,600,1.0,7855.01,0,0
AC00153,2023-09-18 17:44:50,7,2451.89,350.27,513.2857142857143,647,1.2857142857142858,3293.06,105,1
AC00154,2023-11-30 17:53:48,5,869.43,173.886,504.8,665,1.0,1329.45,32,1
AC00155,2024-01-01 16:12:32,6,1757.2,292.8666666666667,497.1666666666667,651,1.0,667.66,0,0
AC00156,2023-12-18 16:47:17,5,2155.04,431.008,453.6,598,1.0,2189.38,14,0
AC00157,2023-12-04 17:25:18,5,1249.0900000000001,249.81800000000004,403.6,567,1.0,6142.54,28,0
AC00158,2023-12-22 17:31:59,7,2354.62,336.3742857142857,451.42857142857144,538,1.0,7516.56,10,0
AC00159,2023-08-10 16:39:44,5,1024.1399999999999,204.82799999999997,548.8,630,1.0,9522.37,144,1
AC00160,2023-10-03 16:15:25,2,1026.89,513.445,524.5,651,1.0,1292.1,90,1
AC00161,2023-12-11 16:06:51,4,1965.8999999999999,491.47499999999997,460.5,571,2.0,13891.47,21,0
AC00162,2023-11-13 16:16:24,2,89.75,44.875,507.5,658,1.0,3253.51,49,1
AC00163,2023-12-11 16:57:08,2,615.91,307.955,409.5,490,1.0,1658.49,21,0
AC00164,2023-07-12 16:54:53,6,3039.38,506.56333333333333,583.3333333333334,669,1.0,14352.33,173,1
AC00165,2023-11-14 16:09:22,6,1761.16,293.5266666666667,439.6666666666667,612,1.0,935.88,48,1
AC00166,2023-12-12 17:41:53,6,1407.46,234.57666666666668,425.3333333333333,626,1.0,2272.17,20,0
AC00167,2023-09-27 16:39:38,5,1581.57,316.31399999999996,496.8,655,1.0,7044.63,96,1
AC00168,2023-12-27 16:40:01,1,77.83,77.83,313.0,313,1.0,2471.53,5,0
AC00169,2023-08-14 16:46:26,2,175.69,87.845,496.0,544,4.0,4618.53,140,1
AC00170,2023-12-21 16:21:27,7,1731.2800000000002,247.32571428571433,508.0,672,1.5714285714285714,5771.4,11,0
AC00171,2023-12-21 17:56:04,5,889.9300000000001,177.98600000000002,406.8,637,1.0,761.78,11,0
AC00172,2023-10-30 16:18:48,5,2904.99,580.9979999999999,445.6,553,1.0,8037.87,63,1
AC00173,2023-11-03 16:31:22,4,1795.2,448.8,479.5,644,1.0,1008.76,59,1
AC00174,2023-10-16 16:29:39,4,700.68,175.17,462.0,585,2.0,1121.19,77,1
AC00175,2023-11-27 16:33:20,7,2136.54,305.21999999999997,468.14285714285717,637,1.0,4004.55,35,1
AC00176,2023-12-25 18:29:05,8,2357.68,294.71,471.375,658,1.0,165.75,6,0
AC00177,2023-12-05 18:33:02,9,2953.1,328.1222222222222,441.44444444444446,671,1.0,8274.77,26,0
AC00178,2023-10-19 17:34:53,5,879.11,175.822,433.2,567,1.6,1008.44,74,1
AC00179,2023-10-27 18:28:05,6,3819.73,636.6216666666667,479.3333333333333,634,1.0,9199.52,65,1
AC00180,2023-10-10 18:12:07,1,108.96,108.96,391.0,391,1.0,7597.66,83,1
AC00181,2023-12-04 18:27:11,5,1447.3,289.46,524.2,662,1.0,824.71,27,0
AC00182,2023-10-16 17:47:41,8,3553.6099999999997,444.20124999999996,524.625,644,1.125,6863.02,77,1
AC00183,2023-09-18 16:19:03,6,1635.97,272.6616666666667,517.5,620,1.0,129.79,105,1
AC00184,2023-10-31 17:06:47,4,1021.61,255.4025,429.5,525,1.0,8042.3,62,1
AC00185,2023-12-18 17:09:29,6,1454.4099999999999,242.40166666666664,486.5,662,1.0,3931.03,14,0
AC00186,2023-12-18 16:30:46,2,456.83000000000004,228.41500000000002,374.5,427,1.0,7950.74,14,0
