AccountID,last_transaction,avg_amount,total_transactions,avg_balance,avg_login_attempts,days_since_last,high_risk_account
AC00001,2023-11-14 16:56:34,130.38,2,2915.16,1.0,48,False
AC00002,2023-12-21 17:00:50,293.7442857142857,7,4480.421428571429,1.1428571428571428,11,False
AC00003,2023-10-02 18:57:19,253.26800000000003,5,7329.567999999999,1.0,90,True
AC00004,2024-01-01 16:08:49,242.2311111111111,9,3340.956666666667,1.0,0,False
AC00005,2023-12-04 18:01:53,347.97444444444443,9,4457.837777777778,1.0,28,False
AC00006,2023-10-05 16:46:31,254.43,4,2051.2625,1.0,88,True
AC00007,2023-11-27 17:34:33,299.07599999999996,5,7428.594,1.0,35,False
AC00008,2023-11-21 16:45:29,76.16,1,1072.25,1.0,41,False
AC00009,2023-12-25 17:19:08,196.816,5,2929.928,1.0,7,False
AC00010,2023-11-30 16:52:42,395.5242857142857,7,5618.32,1.0,32,False
AC00011,2023-12-20 17:15:14,348.3228571428572,7,2679.1014285714286,1.5714285714285714,12,False
AC00012,2023-12-26 16:08:51,344.63000000000005,6,4145.016666666666,1.0,6,False
AC00013,2023-12-27 16:48:30,203.91,8,4462.63125,1.0,5,False
AC00014,2024-01-01 16:17:13,348.25333333333333,9,6523.9977777777785,1.0,0,False
AC00015,2023-11-06 16:28:15,287.185,4,3903.65,1.0,56,False
AC00016,2023-10-16 17:43:00,378.6616666666667,6,3985.7966666666666,1.0,77,True
AC00017,2023-11-27 17:39:39,226.69,5,3273.4739999999997,1.0,35,False
AC00018,2023-08-11 16:18:46,552.89,3,8086.323333333334,2.3333333333333335,143,True
AC00019,2023-07-10 18:16:08,237.0475,4,4981.91,1.0,175,True
AC00020,2023-11-13 16:46:06,420.89000000000004,9,3833.6277777777777,1.0,49,False
AC00021,2023-12-08 16:36:30,532.9175,8,3631.3912499999997,1.0,24,False
AC00022,2023-08-24 16:01:40,193.92000000000002,4,6334.74,1.0,130,True
AC00023,2023-09-18 16:04:06,208.62333333333333,6,3662.5466666666666,1.5,105,True
AC00024,2023-10-30 16:36:24,285.38800000000003,5,3440.032,1.0,63,True
AC00025,2023-12-08 17:05:35,207.685,2,6009.835,1.0,24,False
AC00026,2023-10-30 17:24:55,158.685,6,4629.8516666666665,1.0,63,True
AC00027,2023-11-20 16:29:14,185.84666666666666,3,9518.5,1.0,42,False
AC00028,2023-09-25 17:11:19,723.39,3,1610.4666666666665,1.0,98,True
AC00029,2023-12-04 18:30:00,323.68666666666667,6,6264.863333333334,1.0,27,False
AC00030,2023-10-25 16:13:39,329.96666666666664,9,5498.2877777777785,1.2222222222222223,68,True
AC00032,2023-12-19 16:39:57,376.0733333333333,9,3675.5722222222225,1.4444444444444444,13,False
AC00033,2023-12-19 16:46:08,150.165,6,3460.8866666666668,1.0,13,False
AC00034,2023-10-23 17:17:18,251.97500000000002,4,2910.24,1.0,70,True
AC00035,2023-12-07 16:11:01,239.0188888888889,9,6841.31,1.0,25,False
AC00036,2023-07-19 17:03:58,321.68,5,6564.382,1.0,166,True
AC00037,2023-12-25 16:25:43,126.625,2,7725.1,1.0,7,False
AC00038,2023-06-27 16:40:58,301.73,1,990.74,1.0,188,True
AC00039,2023-11-17 17:59:11,302.96571428571434,7,3446.2971428571427,1.7142857142857142,45,False
AC00040,2023-12-18 17:22:16,585.114,5,5260.7699999999995,1.0,14,False
AC00041,2023-12-22 16:27:49,164.24,7,3217.4000000000005,1.0,10,False
AC00042,2023-09-13 18:11:22,210.808,5,2019.3020000000001,1.0,110,True
AC00043,2023-11-14 17:23:43,503.6875,4,6327.0175,1.25,48,False
AC00044,2023-10-19 18:11:23,487.32,1,7707.96,1.0,74,True
AC00045,2023-09-11 17:51:17,369.024,5,4162.487999999999,1.0,112,True
AC00046,2023-11-06 16:24:45,356.65000000000003,3,4855.713333333334,1.0,56,False
AC00047,2024-01-01 17:21:56,403.05,4,6822.0775,1.0,0,False
AC00048,2023-12-25 17:13:46,534.09,3,6138.25,1.0,7,False
AC00049,2023-11-23 16:09:39,556.885,2,6420.015,1.0,39,False
AC00050,2023-11-09 16:11:59,203.91199999999998,5,2506.364,1.0,53,False
AC00051,2023-07-20 16:05:11,237.3,4,2963.5225,1.75,165,True
AC00052,2023-10-09 16:50:41,141.48999999999998,3,11790.659999999998,1.0,84,True
AC00053,2023-12-14 18:53:34,100.47285714285715,7,6333.698571428571,1.0,17,False
AC00054,2023-11-29 17:38:53,194.64111111111112,9,8343.468888888889,1.2222222222222223,33,False
AC00055,2023-11-10 16:10:34,188.22199999999998,5,2345.77,1.0,52,False
AC00056,2023-09-25 17:29:01,83.11,6,3311.976666666667,1.0,98,True
AC00057,2023-08-29 16:19:14,225.52399999999997,5,2884.134,1.2,125,True
AC00058,2023-12-28 16:46:46,245.6542857142857,7,6184.515714285714,1.0,4,False
AC00059,2023-09-25 16:41:04,148.2425,4,5450.702499999999,1.0,98,True
AC00060,2023-12-11 16:09:08,388.18,4,8073.03,1.5,21,False
AC00061,2023-11-20 16:06:10,191.41199999999998,5,4894.168,1.0,42,False
AC00062,2023-08-14 17:43:17,229.94000000000003,3,4016.0966666666664,1.0,140,True
AC00063,2023-11-20 16:27:31,319.272,10,6064.0650000000005,1.2,42,False
AC00064,2023-09-20 17:44:37,352.7625,4,6635.09,1.0,103,True
AC00065,2023-12-28 16:30:32,220.03400000000002,5,5017.586,1.0,4,False
AC00066,2023-10-23 16:03:49,215.76749999999998,4,4661.9349999999995,1.0,70,True
AC00067,2023-11-14 16:23:09,460.6257142857143,7,6148.915714285715,1.0,48,False
AC00068,2023-11-22 16:13:39,660.4975,4,3794.6925,1.0,40,False
AC00069,2023-12-25 17:27:57,231.08285714285714,7,6979.097142857143,1.0,7,False
AC00070,2023-11-13 17:34:15,236.48375000000001,8,5023.30875,1.375,49,False
AC00071,2023-12-25 17:41:30,506.265,8,1760.04875,2.0,7,False
AC00072,2023-12-22 17:08:55,322.255,4,5915.9325,1.0,10,False
AC00073,2023-12-05 16:32:49,366.964,5,6266.718,1.0,27,False
AC00074,2023-09-13 16:41:19,132.36666666666667,3,5596.883333333334,1.0,110,True
AC00075,2023-12-04 16:31:42,218.37400000000002,5,5046.526,1.0,28,False
AC00076,2023-12-22 16:42:33,237.14857142857144,7,4514.394285714286,1.0,10,False
AC00077,2023-12-15 16:48:08,292.72,6,5078.52,1.1666666666666667,17,False
AC00078,2023-11-30 17:48:36,489.52,6,4800.7,1.0,32,False
AC00079,2023-08-25 16:30:02,103.00399999999999,5,8332.318,1.0,129,True
AC00080,2023-12-04 16:16:19,373.06166666666667,6,4599.393333333333,1.0,28,False
AC00081,2023-08-14 16:20:49,202.45666666666668,3,833.0,1.0,140,True
AC00082,2023-09-28 16:14:49,240.69333333333336,3,2743.0533333333333,1.0,95,True
AC00083,2024-01-01 16:07:05,458.8966666666667,6,3086.2766666666666,1.5,0,False
AC00084,2023-10-23 18:41:35,251.015,2,5090.395,1.0,69,True
AC00085,2023-09-18 17:31:23,282.61833333333334,6,3256.9216666666666,1.0,105,True
AC00086,2023-12-20 16:17:16,455.7242857142857,7,3770.9185714285713,1.2857142857142858,12,False
AC00087,2023-12-29 17:55:30,204.7188888888889,9,5808.111111111111,1.0,3,False
AC00088,2023-02-28 17:34:08,256.77,2,1355.865,1.0,307,True
AC00089,2023-09-25 16:37:04,240.252,5,5283.8099999999995,1.8,98,True
AC00090,2023-11-09 17:51:35,286.66333333333336,9,5545.664444444444,1.0,53,False
AC00091,2023-10-13 16:05:10,359.00333333333333,3,7123.256666666667,1.0,80,True
AC00092,2023-12-18 18:41:26,289.7,8,6780.3775,1.0,13,False
AC00093,2023-12-14 16:15:28,351.7144444444445,9,4057.8533333333335,1.3333333333333333,18,False
AC00094,2023-08-08 17:07:42,56.004999999999995,4,4518.3225,1.0,146,True
AC00095,2023-10-20 17:48:44,397.73375,8,6626.547500000001,1.0,73,True
AC00096,2023-06-01 16:18:49,294.09999999999997,3,3377.3033333333333,1.0,214,True
AC00097,2023-12-19 16:57:40,87.24000000000001,3,4684.803333333333,1.0,13,False
AC00098,2023-12-11 17:26:22,642.514,5,7159.088000000001,1.0,21,False
AC00099,2023-09-18 17:07:08,627.745,4,6798.962500000001,1.0,105,True
AC00100,2023-07-17 16:32:45,149.11,3,5941.206666666668,1.3333333333333333,168,True
AC00101,2023-11-21 17:25:30,99.96666666666665,3,9256.106666666667,1.0,41,False
AC00102,2023-10-16 16:51:25,165.324,5,2944.042,1.0,77,True
AC00103,2023-12-25 17:01:44,429.0,5,3225.65,1.0,7,False
AC00104,2023-08-24 17:13:38,275.2,1,1230.12,1.0,130,True
AC00105,2023-08-25 18:24:06,127.27333333333333,3,4890.046666666666,1.0,128,True
AC00106,2023-12-25 17:31:53,344.03,6,3476.0266666666666,1.0,7,False
AC00107,2023-09-19 16:55:00,596.064,5,3541.558,1.0,104,True
AC00108,2023-11-28 16:38:08,320.06,6,2645.5633333333335,1.5,34,False
AC00109,2023-03-10 16:40:00,209.45999999999998,2,7460.469999999999,1.0,297,True
AC00110,2023-11-17 16:39:20,313.47125,8,6877.297500000001,1.125,45,False
AC00111,2023-12-11 18:43:00,438.81857142857143,7,7752.751428571429,1.0,20,False
AC00112,2023-04-18 17:17:37,554.15,1,14817.22,1.0,258,True
AC00113,2023-10-02 17:47:19,335.18,4,5511.6875,1.0,91,True
AC00114,2023-12-13 17:02:21,317.3228571428572,7,6692.155714285714,1.0,19,False
AC00115,2023-06-07 16:45:34,250.6966666666667,3,5561.496666666666,1.0,208,True
AC00116,2023-11-27 17:29:25,196.705,6,5196.58,1.0,35,False
AC00117,2023-04-12 16:03:37,55.32,1,241.79,1.0,264,True
AC00118,2023-04-14 16:00:51,312.65,4,2507.6725,1.0,262,True
AC00119,2023-12-04 16:10:04,273.21166666666664,6,7481.866666666668,1.0,28,False
AC00120,2023-11-14 18:49:52,290.7633333333333,6,7797.528333333333,1.1666666666666667,47,False
AC00121,2023-03-01 17:52:14,147.365,2,4727.515,1.0,306,True
AC00122,2023-12-26 16:07:28,259.39833333333337,6,4967.5616666666665,1.0,6,False
AC00123,2023-11-27 17:51:15,229.76500000000001,4,7671.035000000001,1.0,35,False
AC00124,2023-12-29 18:07:04,297.705,4,7488.18,1.75,3,False
AC00125,2023-12-11 16:52:47,167.61499999999998,6,5158.7300000000005,1.0,21,False
AC00126,2023-08-07 16:54:58,217.12285714285713,7,5026.975714285714,1.0,147,True
AC00127,2023-03-08 16:57:30,272.72499999999997,2,7377.245,1.0,299,True
AC00128,2023-11-13 17:28:12,460.6985714285715,7,3310.4199999999996,1.0,49,False
AC00129,2023-10-03 16:22:49,273.855,4,6915.41,1.0,90,True
AC00130,2023-09-05 16:52:06,318.09222222222223,9,5486.9,1.1111111111111112,118,True
AC00131,2023-11-07 17:44:12,314.38,9,4672.113333333334,1.0,55,False
AC00132,2023-12-29 16:30:53,96.4825,4,5044.507500000001,1.0,3,False
AC00133,2023-11-23 16:15:59,199.75571428571428,7,3986.5799999999995,1.0,39,False
AC00134,2023-08-25 16:45:20,49.59,1,6037.03,1.0,129,True
AC00135,2023-05-18 16:16:53,72.945,2,8796.24,1.0,228,True
AC00136,2023-11-20 16:31:36,485.06625,8,5374.211249999999,1.0,42,False
AC00137,2023-12-12 16:17:27,125.72333333333334,3,3988.9500000000003,1.0,20,False
AC00138,2023-08-29 16:50:17,208.2,2,4039.17,1.5,125,True
AC00139,2023-12-18 16:06:14,177.72,8,6090.3625,1.5,14,False
AC00140,2023-11-13 16:58:19,150.40285714285713,7,5234.305714285714,1.0,49,False
AC00141,2023-10-17 16:58:59,291.23400000000004,5,5206.886,1.0,76,True
AC00142,2023-11-16 16:33:22,264.85,2,3924.345,1.0,46,False
AC00143,2023-08-18 17:02:15,275.756,5,7637.503999999999,1.0,136,True
AC00144,2023-12-04 17:53:57,230.37125,8,4127.6537499999995,1.25,28,False
AC00145,2023-09-12 16:50:21,280.55600000000004,5,4859.604,1.6,111,True
AC00146,2023-09-06 16:03:15,585.89,2,12340.82,1.0,117,True
AC00147,2023-11-20 17:17:05,129.54,3,7854.639999999999,1.0,42,False
AC00148,2023-08-21 16:07:13,573.758,5,6203.84,1.0,133,True
AC00149,2023-11-09 18:45:10,369.68333333333334,6,7058.091666666667,1.5,52,False
AC00150,2023-07-04 16:25:35,290.08,7,5858.764285714286,1.4285714285714286,181,True
AC00151,2023-06-05 17:48:33,289.2075,4,6460.787499999999,1.0,210,True
AC00152,2024-01-01 16:25:13,242.4675,4,3941.26,1.0,0,False
AC00153,2023-09-18 17:44:50,350.27,7,4495.128571428571,1.2857142857142858,105,True
AC00154,2023-11-30 17:53:48,173.886,5,3856.7119999999995,1.0,32,False
AC00155,2024-01-01 16:12:32,292.8666666666667,6,5971.546666666666,1.0,0,False
AC00156,2023-12-18 16:47:17,431.008,5,2481.3419999999996,1.0,14,False
AC00157,2023-12-04 17:25:18,249.81800000000004,5,4543.075999999999,1.0,28,False
AC00158,2023-12-22 17:31:59,336.3742857142857,7,5047.847142857143,1.0,10,False
AC00159,2023-08-10 16:39:44,204.82799999999997,5,5827.548000000001,1.0,144,True
AC00160,2023-10-03 16:15:25,513.445,2,5922.665,1.0,90,True
AC00161,2023-12-11 16:06:51,491.47499999999997,4,7019.25,2.0,21,False
AC00162,2023-11-13 16:16:24,44.875,2,2093.06,1.0,49,False
AC00163,2023-12-11 16:57:08,307.955,2,1000.215,1.0,21,False
AC00164,2023-07-12 16:54:53,506.56333333333333,6,6175.1016666666665,1.0,173,True
AC00165,2023-11-14 16:09:22,293.5266666666667,6,4871.538333333333,1.0,48,False
AC00166,2023-12-12 17:41:53,234.57666666666668,6,4251.545000000001,1.0,20,False
AC00167,2023-09-27 16:39:38,316.31399999999996,5,5161.33,1.0,96,True
AC00168,2023-12-27 16:40:01,77.83,1,2471.53,1.0,5,False
AC00169,2023-08-14 16:46:26,87.845,2,7002.049999999999,4.0,140,True
AC00170,2023-12-21 16:21:27,247.32571428571433,7,5322.22,1.5714285714285714,11,False
AC00171,2023-12-21 17:56:04,177.98600000000002,5,7441.08,1.0,11,False
AC00172,2023-10-30 16:18:48,580.9979999999999,5,4234.562,1.0,63,True
AC00173,2023-11-03 16:31:22,448.8,4,5366.004999999999,1.0,59,False
AC00174,2023-10-16 16:29:39,175.17,4,4297.865,2.0,77,True
AC00175,2023-11-27 16:33:20,305.21999999999997,7,6035.412857142857,1.0,35,False
AC00176,2023-12-25 18:29:05,294.71,8,3415.33,1.0,6,False
AC00177,2023-12-05 18:33:02,328.1222222222222,9,4208.693333333333,1.0,26,False
AC00178,2023-10-19 17:34:53,175.822,5,4872.183999999999,1.6,74,True
AC00179,2023-10-27 18:28:05,636.6216666666667,6,8851.878333333334,1.0,65,True
AC00180,2023-10-10 18:12:07,108.96,1,7597.66,1.0,83,True
AC00181,2023-12-04 18:27:11,289.46,5,4768.766,1.0,27,False
AC00182,2023-10-16 17:47:41,444.20124999999996,8,3058.38625,1.125,77,True
AC00183,2023-09-18 16:19:03,272.6616666666667,6,3703.4066666666663,1.0,105,True
AC00184,2023-10-31 17:06:47,255.4025,4,7573.0,1.0,62,True
AC00185,2023-12-18 17:09:29,242.40166666666664,6,4565.13,1.0,14,False
AC00186,2023-12-18 16:30:46,228.41500000000002,2,8892.369999999999,1.0,14,False
AC00187,2023-10-02 17:44:05,190.63600000000002,5,4231.834,1.8,91,True
AC00188,2023-09-25 16:22:10,110.95599999999999,5,6394.692,1.0,98,True
AC00189,2023-10-09 18:28:04,302.014,5,2049.5119999999997,1.8,83,True
AC00190,2023-08-30 17:54:55,220.82799999999997,5,2487.6400000000003,1.0,124,True
AC00191,2023-12-28 18:53:29,170.4333333333333,3,11100.473333333333,2.0,3,False
AC00192,2023-09-07 16:28:19,562.5425,4,7032.6275000000005,1.0,116,True
AC00193,2023-10-12 16:29:09,265.74,2,5706.585,1.0,81,True
AC00194,2023-09-08 16:28:54,188.884,5,4145.79,1.4,115,True
AC00195,2023-09-18 16:40:55,489.33000000000004,2,8328.465,1.0,105,True
AC00196,2023-12-20 18:58:27,337.8966666666667,6,5811.728333333333,1.0,11,False
AC00197,2023-11-06 16:31:43,150.5825,4,4838.825,1.0,56,False
AC00198,2023-06-23 17:38:26,533.9100000000001,2,5989.475,1.0,192,True
AC00199,2023-02-15 16:36:48,7.08,1,13316.71,1.0,320,True
AC00200,2023-10-12 16:02:13,221.06714285714287,7,5245.604285714285,1.7142857142857142,81,True
AC00201,2023-11-27 17:04:28,207.064,5,2108.826,1.0,35,False
AC00202,2023-12-22 16:25:16,310.1766666666667,12,3980.2966666666666,1.0,10,False
AC00203,2023-12-15 16:04:20,456.87999999999994,6,5597.166666666667,1.0,17,False
AC00204,2024-01-01 16:30:58,379.82142857142856,7,4325.5257142857145,1.0,0,False
AC00205,2023-12-12 16:57:29,414.50249999999994,4,6163.795,1.0,20,False
AC00206,2023-09-08 16:09:45,255.455,2,2588.2200000000003,2.5,115,True
AC00207,2023-12-28 16:51:20,129.41,2,3334.205,1.0,4,False
AC00208,2023-12-29 17:17:48,617.7099999999999,4,3018.8075,1.0,3,False
AC00209,2023-12-01 17:45:19,275.566,5,3774.782,1.0,31,False
AC00210,2023-12-11 16:37:20,260.7875,4,6364.28,1.0,21,False
AC00211,2023-08-30 18:38:56,497.39,4,7203.62,1.25,123,True
AC00212,2023-12-25 16:11:46,312.33,3,8039.32,1.0,7,False
AC00213,2023-12-04 17:06:43,262.7866666666667,6,5226.291666666667,1.0,28,False
AC00214,2023-05-22 17:45:02,107.72,2,3292.69,1.0,224,True
AC00215,2023-12-25 17:41:33,192.374,5,6968.138000000001,1.0,7,False
AC00216,2023-10-23 16:35:48,269.406,5,5081.764,1.8,70,True
AC00217,2023-12-04 16:27:40,232.59666666666666,6,2673.505,1.0,28,False
AC00218,2023-11-03 18:33:50,260.46285714285716,7,6312.392857142857,1.2857142857142858,58,False
AC00219,2023-12-27 17:18:17,142.899,10,5530.194,1.0,5,False
AC00220,2023-11-06 16:34:10,425.175,6,6363.110000000001,1.0,56,False
