CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,is_attrited,cluster,segment,pca_x,pca_y,activity_score,activity_category,future_churn_candidate,Income_Category_enc,Card_Category_enc,churn_probability,risk_label
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,0,Silent Users,-0.8563116154862999,-1.280255790980499,0.381,Inactive,0,2,0,0.00097487285,Loyal
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,0,Silent Users,-1.2595771067647634,-0.9783512995172,0.3665,Inactive,0,4,0,0.00031796287,Loyal
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,0,Silent Users,-1.573086769631518,-1.0392009514884375,0.3341,Inactive,0,3,0,4.149444e-05,Loyal
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,4,Deal Hunters,-2.538806391687472,0.6886026700565121,0.2252,High Risk,1,4,0,0.00036974787,Loyal
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,0,Silent Users,-1.521628563856549,-1.0902368479444675,0.3378,Inactive,0,2,0,0.98179597,High Risk
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,0,Silent Users,-1.8597425295949224,-0.3145429006602434,0.3634,Inactive,0,1,0,0.00014820261,Loyal
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,3,Premium Customers,-0.3764196517484374,-2.908673809211648,0.3585,Inactive,0,0,1,0.003166938,Loyal
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,3,Premium Customers,-0.4340593753625263,-2.5301143254207137,0.3129,Inactive,0,2,3,0.0002639921,Loyal
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,3,Premium Customers,-1.0800676043418826,-2.080691940523761,0.2889,Inactive,0,2,0,9.955909e-05,Loyal
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,1,At-Risk Customers,-1.2998605321627614,-1.1863512436601829,0.2535,Inactive,0,3,0,0.5105623,Medium Risk
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,1,At-Risk Customers,-1.3043188111076538,-0.5495991844306346,0.2808,Inactive,0,0,0,0.0016465841,Loyal
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,0,Silent Users,-1.5366584692735572,-0.9925058468472818,0.2991,Inactive,0,1,0,5.4232343e-05,Loyal
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,1,At-Risk Customers,-1.753449491539107,-1.8405941532917995,0.0306,High Risk,1,3,0,0.008148872,Loyal
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,0,Silent Users,-1.3206266406478375,-0.7762166203619916,0.3758,Inactive,0,2,0,0.00019946136,Loyal
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,0,Silent Users,-1.7201623313989105,-0.2187350761661881,0.3202,Inactive,0,4,0,0.00014773756,Loyal
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,0,Silent Users,-1.6524729165238,-0.4714967361608993,0.3659,Inactive,0,3,0,5.3596003e-05,Loyal
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,3,Premium Customers,-0.6329367002253157,-2.657841367018825,0.2968,Inactive,0,3,0,0.02127258,Loyal
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,At-Risk Customers,-1.6369485697999258,-1.644000205989645,0.159,High Risk,1,3,0,0.018348979,Loyal
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,4,Deal Hunters,-2.136657965245226,0.9766983858303736,0.3702,Inactive,0,1,0,0.00013646872,Loyal
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,0,Silent Users,-1.3680760406911223,-1.6352784895345758,0.335,Inactive,0,5,0,8.096037e-06,Loyal
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,3,Premium Customers,-1.0568867268625686,-2.023020445299628,0.2908,Inactive,0,2,0,0.00021696772,Loyal
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,1,At-Risk Customers,-2.1093454433262844,-1.099702677851686,0.1915,High Risk,0,4,0,0.9999471,High Risk
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,0,Silent Users,-1.9681483538364557,-0.860364410280129,0.273,Inactive,0,1,0,0.032281544,Loyal
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,4,Deal Hunters,-2.319711156586987,0.4866277705673362,0.2765,Inactive,0,4,0,1.618025e-05,Loyal
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,0,Silent Users,-1.460594819987685,-1.7154102518424397,0.2673,Inactive,0,3,0,0.049396064,Loyal
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,0,Silent Users,-1.7128771751794964,-0.8385759671752462,0.3486,Inactive,0,4,0,0.0005704587,Loyal
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,0,Silent Users,-1.315927920732452,-1.5987011539526692,0.3408,Inactive,0,1,0,0.0017471227,Loyal
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,1,At-Risk Customers,-1.004208064562165,-1.0596099429312626,0.2741,Inactive,0,2,0,0.020961054,Loyal
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,0,Silent Users,-1.6255800449172169,-1.6136835365976467,0.2595,Inactive,0,5,0,0.025088232,Loyal
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,0,Silent Users,-1.37752859727782,-0.2130317514634011,0.4511,Moderately Active,0,1,0,7.372353e-05,Loyal
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,4,Deal Hunters,-2.237326822388948,0.6012334444677653,0.3414,Inactive,0,3,0,0.0016239184,Loyal
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,1,At-Risk Customers,-2.3273314203526123,0.6518498154635569,0.1797,High Risk,1,2,0,3.20104e-05,Loyal
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,0,Silent Users,-1.5696507452665645,-0.6919156300097631,0.3675,Inactive,0,2,0,0.0010461858,Loyal
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,4,Deal Hunters,-2.006622366937619,0.4373278624725085,0.344,Inactive,0,4,0,3.1282267e-05,Loyal
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,0,Silent Users,-1.4446761396665175,-1.35518776860578,0.2903,Inactive,0,3,0,0.0001313969,Loyal
